x,y
0.01001132151653096,-0.04573078714476463
4.233731144710738,-6.492385018481942
9.014943919263391,-9.33194434378331
14.184968885929498,-9.35825580047473
19.575125285464054,-7.365166425982063
25.016732358622075,-4.146523257731168
30.34110934615856,-0.49617333314790324
35.37957548882851,2.7920363103418664
39.96345002738693,4.924258635312285
43.924052202588854,5.106646604337493
47.08336651657042,2.628153843674437
49.12744192745914,-2.016495433623441
49.64637025891066,-7.426288179536338
48.445990273036756,-12.34566745625515
45.591491795716344,-15.71863593749288
41.214198613808314,-16.783650699340765
35.71527491989501,-16.274551573907267
29.585685034261996,-15.410797957102902
23.36688386196844,-15.054780847987876
17.67486646778295,-15.540736033980053
13.131633023863705,-17.160350040775313
10.359183702368874,-20.205309394069552
9.822361211459665,-24.73377490816906
11.290874487512555,-29.770984083155014
14.342300997928586,-34.05667962406862
18.568633968945118,-36.533534925004425
23.641419454929704,-37.26363436582099
29.259484002181008,-36.692934063969204
35.12167852040126,-35.267732961438824
40.926853919292704,-33.43433000021963
46.37386110855756,-31.63902412230138
51.16155099789809,-30.328114269673847
54.988774497016514,-29.947899384326803
